# Cross-layer reusable QML files (sorted by usage)
# format: <uses> | <ext_layer_count> | <file> | def:<layer> | ext:<comma-separated-layers>
259 | 8 | ii/modules/common/Appearance.qml | def:modules/common | ext:kdeConnect,lyricsLayer,modules/ii,modules/waffle,musicLayer,notesLayer,root,services
115 | 6 | ii/modules/common/widgets/MaterialSymbol.qml | def:modules/common | ext:kdeConnect,lyricsLayer,modules/ii,musicLayer,notesLayer,root
 50 | 6 | ii/modules/common/Directories.qml | def:modules/common | ext:lyricsLayer,modules/ii,modules/waffle,musicLayer,root,services
161 | 5 | ii/modules/common/Config.qml | def:modules/common | ext:modules/ii,modules/waffle,panelFamilies,root,services
146 | 5 | ii/modules/common/widgets/StyledText.qml | def:modules/common | ext:kdeConnect,modules/ii,musicLayer,notesLayer,root
 84 | 5 | ii/modules/common/functions/ColorUtils.qml | def:modules/common | ext:lyricsLayer,modules/ii,modules/waffle,musicLayer,root
 68 | 5 | ii/modules/common/widgets/RippleButton.qml | def:modules/common | ext:kdeConnect,modules/ii,musicLayer,notesLayer,root
 40 | 5 | ii/modules/common/widgets/StyledToolTip.qml | def:modules/common | ext:kdeConnect,modules/ii,modules/waffle,notesLayer,root
 29 | 5 | ii/modules/common/functions/StringUtils.qml | def:modules/common | ext:modules/ii,modules/waffle,musicLayer,root,services
148 | 4 | ii/services/Translation.qml | def:services | ext:modules/common,modules/ii,modules/waffle,root
 89 | 4 | ii/GlobalStates.qml | def:root | ext:modules/common,modules/ii,modules/waffle,services
 25 | 4 | ii/modules/common/functions/FileUtils.qml | def:modules/common | ext:modules/ii,musicLayer,root,services
 18 | 4 | ii/services/Notifications.qml | def:services | ext:modules/common,modules/ii,modules/waffle,root
  9 | 4 | ii/services/SystemInfo.qml | def:services | ext:modules/common,modules/ii,modules/waffle,root
  7 | 4 | ii/services/Hyprsunset.qml | def:services | ext:modules/common,modules/ii,modules/waffle,root
 20 | 3 | ii/services/Audio.qml | def:services | ext:modules/common,modules/ii,modules/waffle
 20 | 3 | ii/services/DateTime.qml | def:services | ext:modules/common,modules/ii,modules/waffle
 14 | 3 | ii/services/HyprlandData.qml | def:services | ext:modules/common,modules/ii,modules/waffle
 14 | 3 | ii/services/Network.qml | def:services | ext:modules/common,modules/ii,modules/waffle
 13 | 3 | ii/modules/common/widgets/ButtonGroup.qml | def:modules/common | ext:modules/ii,musicLayer,root
 12 | 3 | ii/modules/common/widgets/StyledFlickable.qml | def:modules/common | ext:modules/ii,modules/waffle,musicLayer
 12 | 3 | ii/modules/common/widgets/StyledImage.qml | def:modules/common | ext:modules/ii,modules/waffle,root
 10 | 3 | ii/services/MprisController.qml | def:services | ext:lyricsLayer,modules/ii,modules/waffle
  9 | 3 | ii/modules/common/widgets/StyledSlider.qml | def:modules/common | ext:lyricsLayer,modules/ii,musicLayer
  7 | 3 | ii/modules/common/widgets/MaterialLoadingIndicator.qml | def:modules/common | ext:lyricsLayer,modules/ii,musicLayer
  7 | 3 | ii/modules/common/widgets/StyledProgressBar.qml | def:modules/common | ext:kdeConnect,lyricsLayer,modules/ii
  7 | 3 | ii/services/BluetoothStatus.qml | def:services | ext:modules/common,modules/ii,modules/waffle
  6 | 3 | ii/services/Cliphist.qml | def:services | ext:modules/common,modules/ii,root
  4 | 3 | ii/modules/common/models/LauncherSearchResult.qml | def:modules/common | ext:modules/ii,modules/waffle,services
  4 | 3 | ii/modules/common/widgets/FloatingActionButton.qml | def:modules/common | ext:modules/ii,notesLayer,root
  4 | 3 | ii/modules/common/widgets/NavigationRailButton.qml | def:modules/common | ext:modules/ii,musicLayer,root
  4 | 3 | ii/modules/common/widgets/NavigationRailTabArray.qml | def:modules/common | ext:modules/ii,musicLayer,root
  4 | 3 | ii/services/PolkitService.qml | def:services | ext:modules/common,modules/ii,modules/waffle
  4 | 3 | ii/settings.qml | def:root | ext:modules/ii,modules/waffle,services
  3 | 3 | ii/modules/common/widgets/NavigationRail.qml | def:modules/common | ext:modules/ii,musicLayer,root
  3 | 3 | ii/modules/common/widgets/StyledComboBox.qml | def:modules/common | ext:kdeConnect,modules/ii,root
  3 | 3 | ii/services/EasyEffects.qml | def:services | ext:modules/common,modules/ii,modules/waffle
  3 | 3 | ii/services/LyricsService.qml | def:services | ext:lyricsLayer,modules/ii,musicLayer
 29 | 2 | ii/modules/common/widgets/StyledRectangularShadow.qml | def:modules/common | ext:modules/ii,modules/waffle
